Sensor,Data,Valor,Direcao_Saida,Unidade,Estado
PZ-BM-BV-54,2014-04-10 08:50:00,33.05,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-04-10 08:50:00,33.76,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-04-10 08:50:00,6.02,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-04-10 08:50:00,8.48,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-04-17 13:54:00,6.17,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-04-17 13:54:00,33.91,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-04-17 13:54:00,33.21,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-04-17 13:54:00,8.64,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-04-26 10:00:00,6.52,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-04-26 10:00:00,33.55,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-04-26 10:00:00,8.98,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-04-26 10:00:00,34.26,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-04-29 16:15:00,6.48,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-04-29 16:15:00,34.22,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-04-29 16:15:00,8.94,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-04-29 16:15:00,33.51,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-05-07 09:00:00,34.19,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-05-07 09:00:00,8.91,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-05-07 09:00:00,33.48,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-05-07 09:00:00,6.45,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-72,2014-05-09 10:35:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-72,2014-05-09 10:35:00,65.21,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-05-12 15:20:00,65.21,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-05-12 15:20:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-54,2014-05-12 15:25:00,32.3,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-05-12 15:25:00,7.73,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-05-12 15:25:00,32.92,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-05-12 15:25:00,5.18,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-05-26 13:00:00,63.34,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-05-26 13:00:00,8.9,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-05-27 09:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-05-27 09:00:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-05-28 08:15:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-05-28 08:15:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-05-28 08:17:00,6.93,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-05-28 08:17:00,61.37,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-05-28 14:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-72,2014-05-28 14:00:00,65.21,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-05-29 09:45:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-05-29 09:45:00,6.91,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-05-29 09:45:00,61.35,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-05-29 09:45:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-05-29 16:00:00,59.89,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-05-29 16:00:00,0.74,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-05-30 07:45:00,61.35,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-05-30 07:45:00,6.91,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-05-30 07:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-05-30 07:50:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-05-30 15:00:00,59.89,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-05-30 15:00:00,0.74,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-05-31 09:00:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-05-31 09:00:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-05-31 10:55:00,61.32,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-05-31 10:55:00,6.88,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-05-31 10:55:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-05-31 10:55:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-02 08:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-02 08:40:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-02 08:45:00,6.87,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-02 08:45:00,61.31,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-02 08:45:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-02 08:45:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-02 09:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-02 09:40:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-06-04 09:20:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-04 09:20:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-04 09:20:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-04 09:20:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-04 09:25:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-04 09:25:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-04 09:25:00,6.84,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-04 09:25:00,61.28,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-05 10:15:00,0.14,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-05 10:15:00,29.94,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-06-05 13:43:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-06-05 13:43:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-05 13:45:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-05 13:45:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-05 13:45:00,6.84,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-05 13:45:00,61.28,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-05 15:40:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-05 15:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-06 08:15:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-06 08:15:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-06 08:17:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-06 08:17:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-06 09:00:00,0.82,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-06 09:00:00,30.62,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-09 08:50:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-09 08:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-09 08:55:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-09 08:55:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-09 08:57:00,61.17,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-09 08:57:00,6.73,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-09 09:35:00,30.68,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-09 09:35:00,0.88,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-09 14:10:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-09 14:10:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-06-10 08:54:00,65.21,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-06-10 08:54:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-10 09:35:00,30.83,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-10 09:35:00,1.03,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-11 14:10:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-11 14:10:00,61.15,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-11 14:10:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-11 14:10:00,6.71,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-11 14:10:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-11 14:10:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-32,2014-06-14 09:15:00,2.81,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-32,2014-06-14 09:15:00,40.41,Cota Piezométrica,m,normal
PZ-BM-BV-33,2014-06-14 09:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-33,2014-06-14 09:40:00,54.1,Cota Piezométrica,m,normal
PZ-BM-BV-34,2014-06-14 09:40:00,41.6,Cota Piezométrica,m,normal
PZ-BM-BV-34,2014-06-14 09:40:00,1.85,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-17 08:20:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-17 08:20:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-17 08:30:00,0.98,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-32,2014-06-17 08:30:00,40.6,Cota Piezométrica,m,normal
PZ-BM-BV-32,2014-06-17 08:30:00,3.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-33,2014-06-17 08:30:00,54.1,Cota Piezométrica,m,normal
PZ-BM-BV-33,2014-06-17 08:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-17 08:30:00,30.78,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-17 08:33:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-17 08:33:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-06-17 09:30:00,65.21,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-06-17 09:30:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-17 09:33:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-17 09:33:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-17 09:33:00,60.95,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-17 09:33:00,6.51,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-34,2014-06-17 12:43:00,41.3,Cota Piezométrica,m,normal
PZ-BM-BV-34,2014-06-17 12:43:00,1.55,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-31,2014-06-18 09:15:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-31,2014-06-18 09:15:00,47.07,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-19 14:16:00,30.77,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-19 14:16:00,0.97,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-32,2014-06-19 14:25:00,3.12,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-32,2014-06-19 14:25:00,40.72,Cota Piezométrica,m,normal
PZ-BM-BV-31,2014-06-19 14:28:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-31,2014-06-19 14:28:00,47.07,Cota Piezométrica,m,normal
PZ-BM-BV-33,2014-06-19 14:31:00,54.1,Cota Piezométrica,m,normal
PZ-BM-BV-34,2014-06-19 14:31:00,41.32,Cota Piezométrica,m,normal
PZ-BM-BV-33,2014-06-19 14:31:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-34,2014-06-19 14:31:00,1.57,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-19 14:38:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-19 14:38:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-06-19 14:39:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-19 14:39:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-19 14:42:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-19 14:42:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-19 14:48:00,60.92,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-19 14:48:00,6.48,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-34,2014-06-20 08:05:00,41.3,Cota Piezométrica,m,normal
PZ-BM-BV-34,2014-06-20 08:05:00,1.55,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-20 08:08:00,6.44,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-20 08:08:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-20 08:08:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-20 08:08:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-20 08:08:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-06-20 08:08:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-20 08:08:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-20 08:08:00,60.88,Cota Piezométrica,m,normal
PZ-BM-BV-31,2014-06-20 08:09:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-31,2014-06-20 08:09:00,47.07,Cota Piezométrica,m,normal
PZ-BM-BV-32,2014-06-20 08:15:00,40.69,Cota Piezométrica,m,normal
PZ-BM-BV-32,2014-06-20 08:15:00,3.09,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-20 08:30:00,0.98,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-20 08:30:00,30.78,Cota Piezométrica,m,normal
PZ-BM-BV-33,2014-06-20 14:31:00,54.1,Cota Piezométrica,m,normal
PZ-BM-BV-33,2014-06-20 14:31:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-55,2014-06-21 16:20:00,29.72,Cota Piezométrica,m,normal
PZ-BM-BV-55,2014-06-21 16:20:00,7.32,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-32,2014-06-24 08:40:00,3.08,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-31,2014-06-24 08:40:00,47.07,Cota Piezométrica,m,normal
PZ-BM-BV-31,2014-06-24 08:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-33,2014-06-24 08:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-24 08:40:00,59.15,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-24 08:40:00,60.73,Cota Piezométrica,m,normal
PZ-BM-BV-14,2014-06-24 08:40:00,6.29,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-24 08:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-12,2014-06-24 08:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-33,2014-06-24 08:40:00,54.1,Cota Piezométrica,m,normal
PZ-BM-BV-32,2014-06-24 08:40:00,40.68,Cota Piezométrica,m,normal
PZ-BM-BV-72,2014-06-24 08:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-11,2014-06-24 08:40:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-24 08:40:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-24 08:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-34,2014-06-24 08:40:00,41.13,Cota Piezométrica,m,normal
PZ-BM-BV-34,2014-06-24 08:40:00,1.38,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-72,2014-06-24 08:40:00,65.21,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-24 08:40:00,0.87,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-24 08:40:00,30.67,Cota Piezométrica,m,normal
PZ-BM-BV-31,2014-06-30 09:40:00,47.07,Cota Piezométrica,m,normal
PZ-BM-BV-53,2014-06-30 09:40:00,2.39,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-53,2014-06-30 09:40:00,30.13,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-06-30 09:40:00,29.05,Cota Piezométrica,m,normal
PZ-BM-BV-32,2014-06-30 09:40:00,41.12,Cota Piezométrica,m,normal
PZ-BM-BV-32,2014-06-30 09:40:00,3.52,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-52,2014-06-30 09:40:00,30.72,Cota Piezométrica,m,normal
PZ-BM-BV-52,2014-06-30 09:40:00,0.92,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-33,2014-06-30 09:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-31,2014-06-30 09:40:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-34,2014-06-30 09:40:00,41.24,Cota Piezométrica,m,normal
PZ-BM-BV-34,2014-06-30 09:40:00,1.49,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-33,2014-06-30 09:40:00,54.1,Cota Piezométrica,m,normal
PZ-BM-BV-54,2014-06-30 09:40:00,4.48,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-55,2014-06-30 09:50:00,7.32,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-55,2014-06-30 09:50:00,29.72,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-30 09:50:00,74.48,Cota Piezométrica,m,normal
PZ-BM-BV-11,2014-06-30 09:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-13,2014-06-30 09:50:00,0.0,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-30 09:50:00,6.29,Carga Piezométrica,m.c.a,normal
PZ-BM-BV-14,2014-06-30 09:50:00,60.73,Cota Piezométrica,m,normal
PZ-BM-BV-13,2014-06-30 09:50:00,69.96,Cota Piezométrica,m,normal
PZ-BM-BV-12,2014-06-30 09:50:00,0.0,Carga Piezométrica,m.c.a,normal
